Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
170.00	0.00039617	1590.7	0.00062865	71.632	71.633	0.41366	0.79215	1.1838	1119.2	-0.38136	2139.7	0.14515	0.028047	0.028625	34.935	321.19	335.03	1.9630	0.50331	0.58566	126.84	370.78	6.8353	0.0030921
171.00	0.00044275	1588.1	0.00062969	72.816	72.816	0.42061	0.79177	1.1839	1114.1	-0.38073	2051.4	0.14454	0.027874	0.031806	31.441	321.69	335.61	1.9574	0.50566	0.58806	127.17	352.87	6.8751	0.0031722
172.00	0.00049406	1585.4	0.00063074	74.000	74.000	0.42751	0.79146	1.1840	1109.0	-0.38006	1969.5	0.14393	0.027701	0.035288	28.338	322.18	336.18	1.9518	0.50800	0.59046	127.50	336.11	6.9149	0.0032524
173.00	0.00055047	1582.8	0.00063180	75.184	75.185	0.43437	0.79123	1.1842	1104.0	-0.37937	1893.4	0.14332	0.027528	0.039093	25.580	322.68	336.76	1.9464	0.51035	0.59286	127.82	320.40	6.9546	0.0033325
174.00	0.00061242	1580.1	0.00063285	76.368	76.369	0.44120	0.79106	1.1845	1098.9	-0.37864	1822.3	0.14271	0.027356	0.043247	23.123	323.19	337.35	1.9411	0.51269	0.59526	128.14	305.68	6.9943	0.0034126
175.00	0.00068036	1577.5	0.00063391	77.553	77.554	0.44799	0.79095	1.1848	1093.8	-0.37788	1755.8	0.14211	0.027184	0.047774	20.932	323.69	337.93	1.9359	0.51503	0.59766	128.47	291.87	7.0340	0.0034927
176.00	0.00075475	1574.9	0.00063498	78.738	78.738	0.45474	0.79090	1.1851	1088.7	-0.37710	1693.6	0.14150	0.027012	0.052702	18.975	324.20	338.52	1.9308	0.51737	0.60006	128.79	278.91	7.0736	0.0035729
177.00	0.00083612	1572.2	0.00063605	79.923	79.924	0.46145	0.79091	1.1856	1083.6	-0.37629	1635.1	0.14090	0.026841	0.058059	17.224	324.70	339.11	1.9258	0.51971	0.60247	129.11	266.74	7.1133	0.0036530
178.00	0.00092498	1569.5	0.00063713	81.109	81.110	0.46814	0.79097	1.1860	1078.5	-0.37545	1580.0	0.14031	0.026669	0.063876	15.655	325.21	339.70	1.9209	0.52205	0.60488	129.42	255.30	7.1529	0.0037332
179.00	0.0010219	1566.9	0.00063821	82.295	82.296	0.47478	0.79108	1.1866	1073.4	-0.37459	1528.1	0.13971	0.026498	0.070183	14.248	325.73	340.29	1.9161	0.52438	0.60728	129.74	244.55	7.1924	0.0038133
180.00	0.0011275	1564.2	0.00063929	83.482	83.483	0.48139	0.79124	1.1871	1068.3	-0.37370	1479.1	0.13912	0.026327	0.077015	12.985	326.24	340.88	1.9114	0.52672	0.60969	130.05	234.43	7.2319	0.0038934
181.00	0.0012424	1561.6	0.00064038	84.670	84.670	0.48797	0.79144	1.1877	1063.2	-0.37278	1432.7	0.13853	0.026157	0.084404	11.848	326.76	341.47	1.9068	0.52905	0.61211	130.37	224.91	7.2714	0.0039736
182.00	0.0013672	1558.9	0.00064148	85.858	85.859	0.49452	0.79169	1.1884	1058.2	-0.37185	1388.8	0.13794	0.025986	0.092389	10.824	327.27	342.07	1.9023	0.53138	0.61452	130.68	215.94	7.3109	0.0040538
183.00	0.0015028	1556.2	0.00064257	87.046	87.047	0.50103	0.79198	1.1891	1053.1	-0.37088	1347.1	0.13736	0.025816	0.10101	9.9004	327.79	342.67	1.8979	0.53372	0.61694	130.99	207.48	7.3503	0.0041339
184.00	0.0016497	1553.6	0.00064368	88.236	88.237	0.50751	0.79231	1.1898	1048.0	-0.36990	1307.5	0.13677	0.025646	0.11030	9.0665	328.31	343.27	1.8936	0.53604	0.61936	131.30	199.51	7.3897	0.0042141
185.00	0.0018088	1550.9	0.00064479	89.426	89.427	0.51396	0.79267	1.1906	1042.9	-0.36889	1269.8	0.13619	0.025476	0.12030	8.3126	328.83	343.87	1.8893	0.53837	0.62178	131.60	191.98	7.4291	0.0042943
186.00	0.0019809	1548.2	0.00064590	90.617	90.618	0.52038	0.79307	1.1914	1037.9	-0.36786	1234.0	0.13561	0.025307	0.13106	7.6301	329.36	344.47	1.8852	0.54070	0.62420	131.91	184.87	7.4684	0.0043744
187.00	0.0021669	1545.6	0.00064702	91.809	91.810	0.52677	0.79350	1.1923	1032.8	-0.36681	1199.8	0.13504	0.025137	0.14262	7.0116	329.88	345.08	1.8811	0.54303	0.62663	132.21	178.15	7.5077	0.0044546
188.00	0.0023676	1542.9	0.00064814	93.001	93.003	0.53313	0.79397	1.1931	1027.8	-0.36573	1167.2	0.13446	0.024968	0.15503	6.4503	330.41	345.68	1.8772	0.54535	0.62906	132.51	171.80	7.5469	0.0045348
189.00	0.0025840	1540.2	0.00064927	94.195	94.197	0.53947	0.79447	1.1940	1022.7	-0.36464	1136.0	0.13389	0.024799	0.16834	5.9404	330.94	346.29	1.8733	0.54768	0.63150	132.81	165.79	7.5862	0.0046150
190.00	0.0028170	1537.5	0.00065041	95.389	95.391	0.54577	0.79499	1.1950	1017.7	-0.36352	1106.2	0.13332	0.024631	0.18259	5.4766	331.47	346.90	1.8695	0.55000	0.63394	133.11	160.10	7.6253	0.0046952
191.00	0.0030678	1534.8	0.00065154	96.585	96.587	0.55204	0.79554	1.1959	1012.6	-0.36238	1077.6	0.13276	0.024462	0.19785	5.0544	332.00	347.51	1.8658	0.55233	0.63638	133.41	154.71	7.6645	0.0047754
192.00	0.0033373	1532.1	0.00065269	97.781	97.783	0.55829	0.79612	1.1969	1007.6	-0.36122	1050.3	0.13219	0.024294	0.21416	4.6694	332.54	348.12	1.8621	0.55465	0.63883	133.70	149.60	7.7035	0.0048557
193.00	0.0036267	1529.4	0.00065384	98.978	98.981	0.56451	0.79672	1.1979	1002.6	-0.36004	1024.1	0.13163	0.024126	0.23158	4.3182	333.07	348.73	1.8586	0.55697	0.64128	133.99	144.76	7.7426	0.0049359
194.00	0.0039371	1526.7	0.00065500	100.18	100.18	0.57071	0.79735	1.1990	997.55	-0.35884	998.98	0.13107	0.023959	0.25017	3.9973	333.61	349.35	1.8551	0.55930	0.64374	134.28	140.16	7.7816	0.0050161
195.00	0.0042698	1524.0	0.00065616	101.38	101.38	0.57687	0.79800	1.2001	992.54	-0.35762	974.84	0.13051	0.023791	0.26999	3.7039	334.15	349.96	1.8517	0.56162	0.64621	134.57	135.79	7.8206	0.0050964
196.00	0.0046260	1521.3	0.00065732	102.58	102.58	0.58301	0.79867	1.2012	987.54	-0.35637	951.65	0.12995	0.023624	0.29110	3.4353	334.69	350.58	1.8483	0.56395	0.64868	134.86	131.63	7.8595	0.0051767
197.00	0.0050071	1518.6	0.00065850	103.78	103.78	0.58913	0.79937	1.2023	982.55	-0.35511	929.34	0.12940	0.023457	0.31356	3.1892	335.23	351.20	1.8450	0.56627	0.65115	135.14	127.68	7.8984	0.0052569
198.00	0.0054143	1515.9	0.00065967	104.98	104.98	0.59522	0.80008	1.2034	977.56	-0.35382	907.88	0.12884	0.023291	0.33745	2.9634	335.77	351.82	1.8418	0.56859	0.65364	135.43	123.93	7.9372	0.0053372
199.00	0.0058491	1513.2	0.00066086	106.19	106.19	0.60128	0.80081	1.2046	972.58	-0.35252	887.22	0.12829	0.023124	0.36283	2.7561	336.32	352.44	1.8387	0.57092	0.65613	135.71	120.35	7.9760	0.0054175
200.00	0.0063130	1510.5	0.00066205	107.39	107.39	0.60732	0.80156	1.2058	967.61	-0.35119	867.31	0.12774	0.022958	0.38977	2.5656	336.86	353.06	1.8356	0.57325	0.65862	135.98	116.94	8.0147	0.0054978
201.00	0.0068074	1507.7	0.00066324	108.60	108.60	0.61334	0.80232	1.2070	962.64	-0.34985	848.11	0.12720	0.022792	0.41835	2.3903	337.41	353.68	1.8326	0.57557	0.66113	136.26	113.69	8.0534	0.0055781
202.00	0.0073340	1505.0	0.00066444	109.80	109.81	0.61933	0.80310	1.2082	957.69	-0.34848	829.60	0.12665	0.022626	0.44864	2.2290	337.96	354.30	1.8297	0.57790	0.66364	136.53	110.59	8.0920	0.0056585
203.00	0.0078943	1502.3	0.00066565	111.01	111.02	0.62530	0.80390	1.2094	952.74	-0.34709	811.73	0.12611	0.022461	0.48071	2.0802	338.51	354.93	1.8268	0.58023	0.66617	136.80	107.63	8.1306	0.0057388
204.00	0.0084901	1499.6	0.00066687	112.22	112.23	0.63125	0.80472	1.2107	947.80	-0.34568	794.47	0.12557	0.022296	0.51465	1.9431	339.06	355.55	1.8240	0.58257	0.66870	137.07	104.80	8.1692	0.0058192
205.00	0.0091230	1496.8	0.00066809	113.43	113.44	0.63717	0.80554	1.2120	942.87	-0.34425	777.80	0.12503	0.022131	0.55054	1.8164	339.61	356.18	1.8213	0.58490	0.67124	137.34	102.09	8.2077	0.0058996
206.00	0.0097949	1494.1	0.00066931	114.65	114.65	0.64307	0.80638	1.2133	937.95	-0.34280	761.68	0.12449	0.021966	0.58846	1.6993	340.16	356.81	1.8186	0.58724	0.67379	137.60	99.509	8.2461	0.0059800
207.00	0.010508	1491.3	0.00067055	115.86	115.87	0.64895	0.80724	1.2146	933.03	-0.34133	746.10	0.12396	0.021802	0.62850	1.5911	340.72	357.43	1.8159	0.58958	0.67636	137.86	97.034	8.2845	0.0060604
208.00	0.011263	1488.6	0.00067178	117.07	117.08	0.65480	0.80810	1.2159	928.12	-0.33983	731.01	0.12343	0.021638	0.67075	1.4909	341.27	358.06	1.8134	0.59192	0.67893	138.12	94.664	8.3228	0.0061408
209.00	0.012063	1485.8	0.00067303	118.29	118.30	0.66064	0.80898	1.2173	923.23	-0.33832	716.41	0.12289	0.021474	0.71529	1.3980	341.83	358.69	1.8108	0.59427	0.68152	138.38	92.393	8.3611	0.0062213
210.00	0.012910	1483.1	0.00067428	119.51	119.52	0.66645	0.80987	1.2186	918.33	-0.33678	702.27	0.12236	0.021310	0.76222	1.3120	342.38	359.32	1.8084	0.59662	0.68411	138.63	90.215	8.3993	0.0063018
211.00	0.013806	1480.3	0.00067554	120.73	120.74	0.67224	0.81077	1.2200	913.45	-0.33522	688.57	0.12184	0.021147	0.81164	1.2321	342.94	359.95	1.8060	0.59897	0.68673	138.88	88.125	8.4375	0.0063823
212.00	0.014752	1477.5	0.00067681	121.95	121.96	0.67801	0.81168	1.2214	908.58	-0.33363	675.29	0.12131	0.020984	0.86364	1.1579	343.50	360.58	1.8036	0.60133	0.68935	139.13	86.119	8.4756	0.0064628
213.00	0.015752	1474.8	0.00067808	123.17	123.18	0.68376	0.81260	1.2228	903.71	-0.33203	662.41	0.12079	0.020821	0.91832	1.0889	344.06	361.22	1.8013	0.60369	0.69199	139.37	84.191	8.5137	0.0065433
214.00	0.016807	1472.0	0.00067936	124.39	124.40	0.68949	0.81353	1.2242	898.85	-0.33040	649.91	0.12026	0.020658	0.97578	1.0248	344.62	361.85	1.7990	0.60605	0.69464	139.62	82.339	8.5517	0.0066239
215.00	0.017919	1469.2	0.00068065	125.62	125.63	0.69520	0.81447	1.2257	894.00	-0.32874	637.78	0.11974	0.020496	1.0361	0.96513	345.19	362.48	1.7968	0.60842	0.69731	139.86	80.557	8.5897	0.0067045
