Wed Nov 27 2019 19:56:25 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.052,-0.3
0.171,-0.4
0.252,-1.3
0.352,-0.3
0.452,0.9
0.551,-0.1
0.662,-0.8
0.761,-1.1
0.854,-0.3
0.957,-0.3
1.059,-0.8
1.154,-1.6
1.257,-1.8
1.358,-0.9
1.481,-0.7
1.634,-1.3
1.675,-2.7
1.759,-3.4
1.858,-1.8
2.06,-0.0
2.084,-0.2
2.173,-2.6
2.273,-3.0
2.374,-2.6
2.473,-2.1
2.581,-1.0
2.675,-0.2
2.773,-0.3
2.875,-0.4
2.976,-0.5
3.076,-0.1
3.176,-1.2
3.274,-1.2
3.377,0.3
3.478,-0.3
3.578,-0.6
3.681,-0.7
3.78,-0.8
3.882,-0.6
3.982,-0.6
4.107,-1.6
4.184,-2.5
4.285,-1.2
4.39,-1.3
4.493,-2.2
4.586,-2.5
4.692,0.0
4.789,-0.6
4.886,-1.1
4.986,-1.7
5.091,-0.4
5.19,-0.2
5.288,-1.9
5.393,-2.4
5.49,-1.4
5.592,-0.8
5.692,-0.7
5.791,-0.3
5.891,0.5
5.993,-1.0
6.117,-0.4
6.197,-1.6
6.301,-2.1
6.398,-1.8
6.498,-0.3
6.6,-0.6
6.706,-1.3
6.809,-0.9
6.907,-1.4
7.008,-1.1
7.108,-1.3
7.214,-0.9
7.31,-0.2
7.41,-0.0
7.509,0.3
7.611,-1.0
7.712,-1.2
7.815,-1.9
7.919,-1.8
8.044,-2.2
8.131,-2.0
8.221,-1.1
8.32,-1.0
8.422,-0.3
8.523,-0.3
8.623,-0.7
8.719,-0.8
8.827,-0.6
8.926,0.2
9.026,-1.2
9.127,-1.3
9.229,-0.8
9.332,-0.5
9.431,-0.1
9.533,-1.4
