Wed Nov 27 2019 20:08:49 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.09,22.3
0.19,22.3
0.29,22.3
0.393,22.3
0.493,22.3
0.635,22.3
0.792,22.3
0.796,21.5
0.9,19.0
1,18.0
1.122,17.3
1.195,16.8
1.303,16.8
1.417,16.8
1.505,17.0
1.614,17.0
1.702,17.5
1.801,17.8
1.906,18.0
2.006,18.5
2.173,18.8
2.204,18.8
2.313,19.3
2.446,19.3
2.578,19.5
2.605,19.5
2.721,19.8
2.834,19.8
2.916,20.0
3.023,20.0
3.115,20.3
3.211,20.3
3.31,20.3
3.413,20.3
3.514,20.3
3.615,20.3
3.716,20.5
3.819,20.5
3.919,20.5
4.014,20.5
4.119,20.5
4.219,20.5
4.319,20.5
4.426,20.8
4.52,20.8
4.625,20.8
4.717,20.8
4.824,20.8
4.923,20.8
5.022,20.8
5.123,20.5
5.226,20.8
5.325,21.0
5.44,20.8
5.522,20.8
5.622,21.0
5.729,20.8
5.827,21.0
5.928,21.0
6.029,21.0
6.157,21.0
6.24,21.0
6.335,21.0
6.433,21.0
6.532,21.0
6.63,21.0
6.739,21.0
6.836,21.0
6.957,21.0
7.041,21.0
7.143,21.0
7.252,21.3
7.342,21.3
7.44,21.0
7.534,21.3
7.635,21.0
7.736,21.3
7.837,21.3
7.942,21.3
8.042,21.3
8.148,21.3
8.235,21.3
8.342,21.3
8.442,21.3
8.543,21.3
8.643,21.3
8.746,21.5
8.842,21.3
8.943,21.3
9.044,21.3
9.145,21.5
9.248,21.3
9.347,21.3
9.447,21.3
9.545,21.5
9.649,21.3
9.742,21.5
9.845,21.5
9.955,21.5
10.047,21.3
10.15,21.3
10.272,21.5
10.354,21.5
10.449,21.5
10.549,21.5
