Wed Nov 27 2019 20:09:07 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.057,85.6
0.166,85.1
0.258,85.1
0.358,85.1
0.459,85.1
0.559,85.1
0.661,81.3
0.76,66.0
0.868,53.1
0.964,43.0
1.076,34.9
1.16,27.2
1.263,22.0
1.361,17.7
1.465,13.4
1.565,10.5
1.668,7.7
1.767,5.7
1.869,3.8
1.97,2.4
2.068,1.4
2.176,0.9
2.278,0.5
2.38,0.5
2.481,0.0
2.582,0.0
2.682,0.5
2.782,0.5
2.884,0.0
2.987,0.5
3.083,0.5
3.193,0.5
3.284,0.5
3.386,0.5
3.485,0.5
3.587,0.5
3.687,0.0
3.787,0.5
3.894,0.5
3.989,0.5
4.089,0.5
4.19,0.5
4.29,0.5
4.39,0.5
4.491,0.5
4.595,0.5
4.693,0.5
4.794,0.5
4.903,0.5
4.995,0.9
5.105,0.9
5.206,0.5
5.307,0.5
5.407,0.5
5.509,0.5
5.608,0.5
5.709,0.5
5.809,0.5
5.907,0.5
6.01,0.5
6.111,0.5
6.209,0.5
6.31,0.5
6.41,0.5
6.511,0.5
6.61,0.5
6.707,0.5
6.809,0.5
6.91,0.5
7.011,0.5
7.112,0.5
7.212,0.9
7.312,0.9
7.412,0.9
7.516,3.3
7.613,14.8
7.717,25.3
7.816,35.9
7.917,45.4
8.017,54.5
8.123,62.6
8.219,69.3
8.32,74.6
8.419,78.9
8.518,81.7
