Wed Nov 27 2019 20:10:14 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.011,84.6
0.106,84.6
0.208,84.1
0.307,84.1
0.408,84.1
0.511,84.1
0.662,84.1
0.708,80.3
0.811,64.5
0.911,52.1
1.01,42.1
1.11,33.9
1.22,27.3
1.312,21.5
1.419,16.7
1.517,12.9
1.614,9.6
1.72,6.7
1.817,4.8
1.93,2.9
2.015,1.9
2.117,0.5
2.228,0.5
2.318,0.0
2.42,-0.5
2.516,-0.5
2.615,-0.5
2.725,-0.5
2.827,0.0
2.929,0.0
3.031,0.0
3.13,0.0
3.228,0.0
3.334,0.0
3.432,-9.6
3.533,0.0
3.637,0.0
3.733,0.0
3.838,-0.5
3.936,0.0
4.033,0.0
4.135,0.0
4.237,0.0
4.338,0.0
4.44,0.0
4.541,0.0
4.645,0.0
4.763,0.0
4.841,-0.5
4.944,0.0
5.043,0.0
5.158,0.0
5.243,0.0
5.343,0.0
5.458,0.0
5.546,0.0
5.645,0.0
5.744,0.0
5.845,0.0
5.946,0.0
6.047,0.0
6.148,0.0
6.248,0.5
6.351,0.5
6.449,0.5
6.549,0.0
6.651,0.5
6.757,0.0
6.853,0.0
6.954,0.0
7.054,0.0
7.153,0.0
7.251,0.0
7.354,0.0
7.456,0.0
7.553,0.0
7.66,0.0
7.756,0.0
7.859,0.0
7.958,0.0
8.057,0.0
8.158,0.0
8.257,0.0
8.359,0.0
8.461,0.0
8.562,0.0
