Fri Nov 29 2019 14:34:40 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.095,-4.6
0.197,-4.6
0.297,-4.6
0.399,-4.6
0.498,-4.6
0.646,-4.6
0.703,-4.4
0.8,1.5
0.903,9.8
1.006,8.9
1.109,6.8
1.208,5.3
1.304,4.5
1.411,3.9
1.502,3.0
1.604,2.0
1.705,1.1
1.805,-0.3
1.912,-0.9
2.005,-1.4
2.106,-1.8
2.206,-2.2
2.306,-2.4
2.408,-2.6
2.507,-2.7
2.611,-2.8
2.709,-2.9
2.807,-2.9
2.914,-2.9
3.01,-2.9
3.192,-2.8
3.22,-2.8
3.33,-2.8
3.475,-2.8
3.602,-2.8
3.617,-2.8
3.74,-2.8
3.836,-2.8
3.923,-2.8
4.019,-2.8
4.123,-2.8
4.223,-2.8
4.324,-2.8
4.421,-2.8
4.525,-2.8
4.665,-2.8
4.726,-2.8
4.826,-2.8
4.93,-2.8
5.031,-2.9
5.126,-2.9
5.232,-2.9
5.335,-2.8
5.432,-2.9
5.536,-2.9
5.632,-2.9
5.732,-2.9
5.834,-2.9
5.935,-2.9
6.036,-2.9
6.137,-2.9
6.236,-2.9
6.347,-2.9
6.439,-2.9
6.548,-2.9
6.657,-2.9
6.774,-2.9
6.874,-2.9
6.944,-2.9
7.046,-2.9
7.16,-2.9
7.252,-2.9
7.348,-2.9
7.447,-2.9
7.549,-2.9
7.645,-2.9
7.744,-2.9
7.848,-2.9
7.952,-2.9
8.086,-2.9
8.153,-2.9
8.25,-2.9
8.348,-2.9
8.448,-2.9
8.558,-2.9
8.71,-2.9
8.751,-2.9
8.855,-2.9
8.956,-2.9
9.057,-2.9
9.157,-2.9
9.258,-2.9
9.359,-2.9
9.461,-2.9
9.559,-2.9
9.66,-2.9
