Fri Nov 29 2019 14:34:40 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.093,19.5
0.195,19.3
0.295,19.3
0.397,19.5
0.499,19.5
0.645,19.5
0.701,19.3
0.799,16.5
0.902,14.5
1.005,11.8
1.108,10.8
1.206,10.3
1.302,9.5
1.409,9.5
1.5,9.5
1.603,10.5
1.703,11.0
1.803,11.3
1.909,12.5
2.004,13.0
2.103,13.3
2.204,14.3
2.304,14.3
2.406,15.0
2.505,15.5
2.608,15.8
2.707,16.0
2.807,16.3
2.913,16.0
3.007,16.5
3.189,16.3
3.219,16.8
3.328,16.8
3.473,16.8
3.6,16.8
3.615,15.5
3.739,14.3
3.835,17.3
3.921,17.0
4.018,17.5
4.12,17.5
4.221,17.5
4.322,17.5
4.42,17.5
4.525,17.5
4.664,17.8
4.725,17.5
4.824,17.8
4.928,17.8
5.03,17.8
5.124,18.0
5.23,18.0
5.334,18.0
5.43,18.0
5.534,18.0
5.631,18.0
5.729,18.3
5.834,18.3
5.933,18.3
6.035,18.3
6.131,18.3
6.234,18.3
6.344,18.3
6.435,18.3
6.546,17.8
6.656,18.5
6.771,18.5
6.872,18.5
6.942,18.0
7.044,18.5
7.158,18.5
7.249,18.3
7.345,18.5
7.446,18.5
7.547,18.3
7.643,18.5
7.744,18.0
7.846,18.5
7.95,18.8
8.083,18.5
8.151,16.0
8.249,18.8
8.346,18.3
8.446,18.8
8.549,15.8
8.708,18.5
8.75,18.3
8.854,16.3
8.954,18.8
9.055,18.8
9.156,18.8
9.256,18.8
9.357,18.5
9.46,18.5
9.556,18.8
9.658,18.5
