Fri Nov 29 2019 14:35:50 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.073,98.5
0.174,97.9
0.27,97.9
0.374,97.9
0.469,97.9
0.575,97.4
0.679,93.4
0.778,75.6
0.872,61.4
0.976,49.7
1.074,40.1
1.178,32.5
1.272,25.9
1.378,20.3
1.475,16.2
1.579,12.2
1.679,8.6
1.779,6.1
1.888,4.0
1.979,2.5
2.086,1.5
2.183,0.5
2.285,-0.0
2.388,-0.0
2.482,-0.0
2.581,-0.5
2.684,-0.5
2.783,-0.5
2.879,-0.5
2.986,-0.5
3.084,-0.5
3.183,-0.5
3.284,-0.5
3.386,-0.5
3.485,-0.5
3.592,-0.0
3.686,-0.0
3.788,-0.5
3.89,-0.5
3.989,-0.0
4.089,-2.6
4.192,-0.5
4.291,-0.0
4.404,-0.5
4.504,-0.5
4.605,-0.5
4.704,-1.6
4.805,-0.5
4.905,-0.5
5.006,-0.5
5.105,-0.0
5.207,-0.0
5.315,-0.0
5.41,-0.0
5.515,-0.0
5.612,-0.0
5.713,-0.0
5.813,-0.0
5.914,-0.0
6.018,-0.5
6.118,-0.5
6.224,-0.5
6.322,-0.0
6.42,-0.5
6.521,-0.0
6.621,-0.0
6.724,-0.0
6.824,-0.0
6.926,-0.0
7.029,-0.0
7.126,-0.0
7.225,-0.0
7.327,0.5
7.427,-0.0
7.53,-0.0
7.625,-0.0
7.729,-0.0
7.831,-0.0
7.95,-0.0
8.03,-0.0
8.135,-0.0
8.231,-0.0
8.332,-0.0
8.478,-1.0
8.541,-0.0
8.657,-0.0
8.749,-0.0
8.846,-0.0
8.948,-0.0
9.049,-0.0
9.152,-0.0
9.254,-0.0
9.356,-0.5
9.47,-0.0
9.561,-0.0
