Fri Nov 29 2019 14:40:10 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.016,95.7
0.111,95.7
0.203,95.7
0.297,95.7
0.39,95.2
0.48,95.7
0.579,95.2
0.667,95.2
0.764,78.0
0.856,63.8
0.948,52.6
1.042,43.0
1.136,34.8
1.238,28.2
1.322,22.6
1.414,18.1
1.506,14.5
1.606,11.0
1.69,7.9
1.787,5.9
1.881,3.9
1.973,2.3
2.068,1.8
2.158,0.3
2.253,0.3
2.345,-0.2
2.438,-0.2
2.532,-0.2
2.627,-0.7
2.718,-0.2
2.809,-0.7
2.905,-0.2
2.997,-0.2
3.092,-0.7
3.184,-0.2
3.278,-0.2
3.372,-0.2
3.463,-0.7
3.554,-0.7
3.653,-0.2
3.739,-0.7
3.835,-0.2
3.931,-0.7
4.021,-0.2
4.115,-0.2
4.209,-0.7
4.303,-0.2
4.394,-0.2
4.488,-0.7
4.582,-0.2
4.675,-0.7
4.765,-0.2
4.86,-0.2
4.957,-0.2
5.046,-0.2
5.144,-0.2
5.233,-0.2
5.329,-0.2
5.419,-0.2
5.513,-0.7
5.603,-0.2
5.7,-0.2
5.79,-0.2
5.882,-0.2
5.98,-0.2
6.072,-0.2
6.164,-0.2
6.259,-0.2
6.351,-0.2
6.445,-0.2
6.537,-0.2
6.626,-0.2
6.724,-0.2
6.818,0.3
6.907,-0.2
7.019,-0.2
7.096,-0.2
7.19,-0.2
7.281,-0.2
7.375,-0.2
7.468,-0.2
7.56,-0.2
7.655,-0.2
7.747,-0.2
7.84,-0.2
7.932,-0.2
8.027,-0.2
8.119,-0.2
8.213,-0.2
8.305,-0.7
8.401,-0.2
8.494,-0.2
8.584,-0.2
8.675,-0.2
8.771,-0.2
8.863,-0.2
8.957,-0.2
9.052,-0.2
9.147,-0.2
9.236,-0.2
9.33,-0.2
9.424,-0.2
9.516,-0.2
