Sat Nov 30 2019 12:20:52 GMT-0800 (Pacific Standard Time)
Time (s),Exit Temperature (Celsius)
0.004,19.8
0.092,20.3
0.19,20.0
0.279,20.0
0.371,20.3
0.461,20.0
0.562,NaN
1.58,20.3
1.677,19.8
1.772,20.0
1.857,20.3
1.957,20.0
2.047,20.3
2.142,20.0
2.237,20.3
2.323,20.0
2.442,20.0
2.509,19.5
2.604,20.0
2.695,19.5
2.793,19.8
2.891,20.0
2.98,19.8
3.073,20.3
3.172,20.0
3.255,20.0
3.349,20.3
3.443,20.3
3.535,20.0
3.628,20.0
3.721,20.3
3.817,19.8
3.909,20.0
4,20.0
4.094,20.0
4.187,20.3
4.282,20.0
4.376,19.8
4.478,20.0
4.561,20.0
4.659,19.5
4.754,20.0
4.847,20.0
4.937,19.8
5.03,20.3
5.121,19.3
5.214,19.8
5.308,20.3
5.399,20.3
5.492,20.0
5.585,20.0
5.681,20.3
5.774,19.8
5.873,20.3
5.962,19.5
6.054,19.8
6.147,20.0
6.24,19.5
6.333,20.3
6.425,20.3
6.52,20.0
6.613,20.0
6.707,20.0
6.821,19.5
6.897,19.8
6.986,20.0
7.079,19.3
7.17,20.0
7.264,20.0
7.359,19.8
7.45,20.0
7.543,20.0
7.645,19.5
7.778,20.3
7.837,19.8
7.926,19.8
8.032,20.0
8.104,20.0
8.2,19.8
8.289,20.3
8.382,20.3
8.482,19.8
8.57,20.3
8.664,20.3
8.757,19.5
8.852,20.3
8.951,20.3
9.045,20.0
9.136,20.0
9.224,19.8
9.319,20.0
9.411,20.0
9.504,20.0
