Sat Nov 30 2019 12:47:37 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.045,90.9
0.132,90.9
0.22,90.4
0.313,90.4
0.409,89.8
0.649,89.8
0.651,89.8
0.709,89.3
0.779,89.3
0.878,73.6
0.966,59.9
1.063,49.2
1.151,40.1
1.249,33.0
1.366,26.4
1.432,20.8
1.525,16.8
1.641,12.7
1.721,10.2
1.808,7.1
1.901,5.1
1.992,3.0
2.084,2.0
2.177,1.0
2.27,0.5
2.364,0.0
2.457,0.0
2.556,0.0
2.655,0.0
2.747,-0.5
2.836,0.0
2.929,0.0
3.022,-0.5
3.131,0.0
3.216,-0.5
3.314,0.0
3.405,0.0
3.494,0.0
3.577,0.0
3.67,0.0
3.767,0.0
3.874,0.0
3.951,0.0
4.09,0.0
4.146,-0.5
4.246,0.0
4.328,0.0
4.423,0.0
4.515,0.0
4.606,0.0
4.713,0.0
4.797,0.0
4.895,0.0
5.007,0.0
5.076,0.0
5.162,0.5
5.259,0.0
5.35,0.0
5.442,0.5
5.536,0.0
5.63,0.5
5.723,0.0
5.822,0.5
5.919,0.5
6.007,0.0
6.101,0.5
6.193,0.0
6.286,0.5
6.38,0.5
6.472,0.0
6.567,0.5
6.66,0.5
6.759,0.5
6.852,0.5
6.946,0.5
7.031,0.5
7.126,0.5
7.219,0.5
7.311,1.0
7.404,0.5
7.5,0.5
7.592,0.5
7.686,0.5
7.785,0.5
7.872,0.5
7.968,0.5
8.058,0.0
8.162,0.5
8.244,0.5
8.337,0.0
8.447,0.5
8.527,0.0
8.631,0.5
8.711,0.5
