Sat Nov 30 2019 13:15:06 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.1,-0.4
0.177,-0.5
0.272,-0.4
0.37,-0.5
0.456,-0.5
0.551,-0.5
0.647,0.1
0.738,9.4
0.83,19.5
0.926,17.3
1.02,14.2
1.12,11.7
1.207,9.6
1.302,7.9
1.395,6.5
1.487,5.2
1.58,4.2
1.672,3.3
1.779,2.5
1.869,1.8
1.954,1.3
2.047,0.9
2.15,0.5
2.233,0.2
2.33,0.1
2.43,0.0
2.515,-0.1
2.611,-0.1
2.705,-0.1
2.795,-0.1
2.889,-0.1
2.983,-0.1
3.093,-0.1
3.171,-0.1
3.254,-0.1
3.352,-0.1
3.44,-0.1
3.535,-0.1
3.628,-0.1
3.723,-0.1
3.816,-0.1
3.912,-0.1
4.012,-0.1
4.102,-0.1
4.195,-0.1
4.294,-0.1
4.38,-0.1
4.471,-0.1
4.564,-0.1
4.657,-0.1
4.752,-0.1
4.846,-0.1
4.938,-0.1
5.037,-0.1
5.126,-0.1
5.218,-0.1
5.326,-0.0
5.409,-0.1
5.519,-0.1
5.596,-0.1
5.687,-0.1
5.779,-0.1
5.869,-0.1
5.964,-0.1
6.058,-0.1
6.152,-0.1
6.249,-0.1
6.344,-0.1
6.441,-0.1
6.525,-0.1
6.615,-0.1
6.71,-0.1
6.803,-0.1
6.897,-0.1
6.989,-0.1
7.085,-0.1
7.175,-0.1
7.27,-0.1
7.37,-0.1
7.459,-0.1
7.551,-0.1
7.643,-0.1
7.738,-0.1
7.831,-0.1
7.923,-0.1
8.017,-0.1
8.113,-0.1
8.203,-0.1
8.297,-0.1
8.388,-0.1
8.49,-0.1
8.577,-0.1
