Wed Dec 04 2019 14:37:22 GMT-0800 (Pacific Standard Time),
Time (s),Float Pressure (psig)
0.056,39.9
0.151,39.9
0.245,39.4
0.338,39.4
0.43,39.9
0.522,39.4
0.617,39.4
0.71,38.9
0.804,31.8
0.905,31.8
0.99,31.3
1.086,31.8
1.174,31.8
1.27,31.8
1.363,32.3
1.456,31.8
1.55,31.8
1.653,31.8
1.737,31.8
1.829,32.3
1.921,31.3
2.016,31.8
2.109,32.3
2.206,32.3
2.297,32.3
2.389,32.3
2.482,32.3
2.572,32.3
2.671,32.3
2.762,32.8
2.855,32.3
2.945,32.8
3.042,32.8
3.136,32.8
3.228,32.8
3.322,32.8
3.415,32.8
3.51,32.8
3.606,32.8
3.706,32.8
3.789,32.8
3.881,33.3
3.979,32.8
4.07,32.8
4.164,32.8
4.255,33.3
4.349,33.3
4.44,32.8
4.536,33.3
4.628,33.3
4.725,33.3
4.814,33.3
4.907,33.8
5,33.8
5.094,33.3
5.189,33.8
5.289,33.8
5.374,33.3
5.467,33.8
5.562,33.8
5.654,33.8
5.747,33.8
5.84,33.8
5.931,33.8
6.027,33.8
6.12,33.8
6.214,33.8
6.308,33.8
6.401,34.3
6.494,34.3
6.587,33.8
6.679,33.8
6.774,33.8
6.869,34.3
6.976,33.8
7.053,34.3
7.144,33.8
7.239,34.3
7.333,34.3
7.426,34.3
7.516,34.3
7.625,34.3
7.709,34.3
7.799,34.8
7.892,34.3
7.987,34.3
8.079,34.3
8.172,34.3
8.266,34.8
8.361,34.3
8.449,34.8
8.547,34.8
8.66,34.3
8.733,34.3
8.825,41.4
8.918,43
9.012,43
9.111,44
9.2,43.5
9.288,43.5
9.386,43.5
9.477,43.5
9.58,43.5
9.677,43.5
9.76,43.5
9.848,43.5
9.942,43.5
10.035,43.5
10.132,43.5
10.224,43
10.317,43
10.41,43
10.504,43
10.596,43
10.69,43
10.785,43
10.878,43
10.97,43
11.067,43
11.16,43
11.252,43
11.34,42.5
11.436,43
11.53,42.5
11.624,42.5
11.718,42.5
11.812,41.9
11.906,41.9
11.999,42.5
12.091,41.9
12.183,41.9
12.277,41.9
12.369,41.9
12.463,41.4
12.556,41.9
12.655,41.9
12.743,41.4
12.836,41.9
12.929,41.4
13.023,41.4
13.117,41.4
13.214,41.4
13.303,41.4
13.398,40.9
13.49,41.4
13.59,41.4
