Wed Dec 04 2019 14:41:56 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.09,-0.0
0.191,-0.0
0.274,-0.0
0.366,-0.0
0.47,0.0
0.554,0.0
0.649,0.3
0.741,6.0
0.833,13.3
0.927,14.1
1.023,14.0
1.112,14.0
1.208,14.0
1.297,13.9
1.414,14.0
1.486,14.1
1.58,14.2
1.682,14.2
1.765,14.3
1.859,14.3
1.953,14.3
2.046,14.4
2.139,14.4
2.232,14.4
2.362,14.4
2.42,14.4
2.51,14.5
2.615,14.5
2.703,14.5
2.8,14.6
2.885,14.6
2.983,14.6
3.072,14.6
3.165,14.6
3.259,14.7
3.358,14.7
3.449,14.7
3.539,14.7
3.63,14.7
3.727,14.7
3.848,14.8
3.911,14.8
4.011,14.8
4.102,14.8
4.192,14.8
4.284,14.8
4.378,14.8
4.472,14.8
4.564,14.9
4.657,14.9
4.762,14.9
4.843,15.0
4.938,15.0
5.057,15.0
5.122,15.0
5.217,15.0
5.31,15.0
5.404,15.0
5.498,15.0
5.588,15.0
5.684,15.0
5.778,15.0
5.873,15.0
5.964,15.0
6.073,15.0
6.146,15.0
6.241,15.0
6.333,15.0
6.427,15.0
6.518,15.0
6.614,15.0
6.718,14.7
6.795,9.2
6.904,1.3
6.992,0.1
7.085,0.1
7.178,0.1
7.27,0.1
7.363,0.1
7.458,0.1
7.548,0.1
7.65,0.1
7.739,0.1
7.832,0.1
7.924,0.1
8.014,0.1
8.108,0.1
8.201,0.1
8.297,0.1
8.388,0.1
8.482,0.1
8.599,0.1
8.678,0.0
8.762,0.0
8.854,0.0
8.952,0.0
9.051,0.0
9.136,0.0
9.226,0.0
9.324,0.0
9.411,0.0
9.507,0.0
9.598,0.0
9.694,-0.0
9.782,-0.0
9.879,-0.0
9.975,-0.0
10.066,-0.0
10.162,-0.0
10.25,-0.1
10.346,-0.1
10.441,-0.1
10.533,-0.1
10.627,-0.1
10.718,-0.1
10.842,-0.1
10.979,-0.1
10.999,-0.1
11.126,-0.1
11.262,-0.1
11.288,-0.1
11.388,-0.1
11.478,-0.1
11.564,-0.1
