Wed Dec 04 2019 14:42:44 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.008,60.7
0.103,60.7
0.2,61.2
0.292,60.7
0.38,60.7
0.477,60.7
0.569,60.7
0.66,60.7
0.76,52.6
0.851,52.1
0.942,52.6
1.063,52.6
1.133,52.6
1.222,52.1
1.316,52.6
1.409,52.6
1.503,52.6
1.595,53.1
1.699,52.6
1.789,53.6
1.876,53.1
1.967,53.6
2.061,53.6
2.155,53.1
2.248,54.1
2.343,54.1
2.434,54.1
2.527,54.1
2.621,54.1
2.714,54.1
2.808,54.1
2.901,54.1
2.995,54.1
3.088,54.1
3.182,54.6
3.275,54.1
3.382,54.6
3.458,54.6
3.555,54.6
3.657,54.6
3.741,54.6
3.83,54.6
3.932,54.6
4.04,54.6
4.114,54.6
4.207,54.6
4.3,55.6
4.393,54.6
4.487,54.6
4.58,54.6
4.673,54.6
4.765,54.6
4.86,54.6
4.956,54.6
5.046,54.6
5.139,54.6
5.231,54.6
5.327,54.6
5.421,54.6
5.513,54.6
5.606,54.6
5.699,55.1
5.792,55.1
5.885,55.1
5.98,55.1
6.074,55.1
6.167,55.1
6.26,55.1
6.354,54.6
6.448,55.1
6.541,54.6
6.637,55.1
6.724,55.1
6.822,63.8
6.912,63.8
7.001,64.3
7.098,64.8
7.191,64.3
7.296,63.8
7.381,63.8
7.471,63.8
7.57,63.8
7.657,63.3
7.753,63.3
7.844,63.3
7.938,63.3
8.03,63.3
8.125,62.8
8.218,62.8
8.321,62.8
8.405,62.8
8.497,63.3
8.59,62.8
8.684,62.8
8.777,62.8
8.866,62.2
8.968,62.8
9.064,62.8
9.149,62.2
9.239,62.2
9.336,62.2
9.429,62.2
9.522,62.8
9.617,62.2
9.71,61.7
9.802,62.2
9.896,62.2
9.989,62.2
10.093,62.2
10.178,62.2
10.271,62.2
10.363,61.7
10.456,61.7
10.555,62.2
10.655,61.7
10.736,62.2
10.838,61.7
10.922,61.7
11.015,62.2
11.109,61.7
11.201,62.2
11.296,61.7
11.388,61.7
11.483,62.2
11.576,61.7
