Wed Dec 04 2019 14:54:12 GMT-0800 (Pacific Standard Time),
Time (s),Weight (?)
0.005,-0.1
0.106,-0.1
0.181,-0.1
0.274,-0.1
0.365,-0.1
0.463,-0.1
0.557,-0.1
0.65,0.5
0.751,10.2
0.835,22.9
0.929,24.3
1.024,24.3
1.116,24.4
1.207,24.5
1.297,24.5
1.397,24.6
1.488,24.7
1.581,24.8
1.675,24.8
1.772,24.9
1.861,24.9
1.955,25
2.047,25
2.139,25.1
2.23,25.1
2.326,25.1
2.42,25.2
2.516,25.2
2.607,25.2
2.7,24.8
2.793,15.5
2.892,1.9
2.98,0
3.073,0
3.165,-0.1
3.258,-0.1
3.352,-0.1
3.447,-0.1
3.565,-0.1
3.637,-0.1
3.727,-0.1
3.818,-0.1
3.911,-0.1
4.007,-0.1
4.103,-0.1
4.192,-0.1
4.286,-0.1
4.376,-0.1
4.47,-0.1
4.575,-0.1
4.658,-0.1
4.752,-0.1
4.849,-0.1
4.965,-0.2
5.037,-0.2
5.125,-0.2
5.215,-0.2
5.312,-0.2
5.403,-0.2
5.499,-0.2
5.595,-0.2
5.685,-0.2
5.782,-0.2
5.873,-0.2
5.963,-0.2
6.059,-0.2
6.149,-0.2
6.245,-0.2
6.338,-0.2
6.428,-0.2
6.523,-0.2
6.622,-0.3
6.709,-0.2
6.802,-0.2
6.898,-0.2
6.992,-0.3
7.083,-0.3
7.192,-0.2
7.268,-0.3
7.364,-0.3
7.455,-0.3
7.552,-0.3
