Wed Dec 04 2019 14:54:12 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.004,100.0
0.103,100.0
0.181,100.0
0.273,100.0
0.364,100.5
0.462,100.0
0.549,100.0
0.647,99.5
0.748,93.4
0.832,92.9
0.927,92.4
1.021,92.9
1.115,93.4
1.206,93.4
1.296,93.9
1.395,93.9
1.485,94.4
1.578,94.4
1.672,94.4
1.77,94.9
1.859,94.9
1.954,94.9
2.045,94.9
2.138,95.4
2.228,95.4
2.324,95.4
2.418,95.9
2.514,95.9
2.606,95.9
2.699,95.9
2.791,105.6
2.89,106.1
2.978,106.1
3.07,106.1
3.163,106.1
3.256,105.1
3.35,105.6
3.446,104.6
3.563,104.6
3.635,104.1
3.724,103.6
3.817,104.1
3.91,103.6
4.006,103.0
4.099,103.0
4.19,102.5
4.284,102.5
4.374,102.5
4.469,102.0
4.573,102.0
4.657,102.0
4.75,102.0
4.847,102.0
4.963,102.0
5.03,102.0
5.123,102.0
5.215,102.0
5.31,102.0
5.401,102.0
5.496,102.0
5.593,102.0
5.683,102.0
5.779,102.0
5.871,102.0
5.962,102.0
6.056,102.0
6.148,102.0
6.243,101.5
6.337,102.0
6.425,102.0
6.522,102.0
6.619,102.0
6.708,101.5
6.801,102.0
6.894,101.5
6.99,102.0
7.082,102.0
7.183,101.5
7.267,102.0
7.362,101.5
7.454,101.5
7.55,101.5
