Thu Dec 05 2019 19:11:59 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.094,100.5
0.195,100.5
0.298,100.5
0.4,100.5
0.51,100.5
0.607,90.8
0.706,90.8
0.812,90.8
0.915,90.3
1.02,90.8
1.123,90.8
1.225,91.3
1.327,91.3
1.43,91.3
1.533,91.3
1.636,91.3
1.739,91.3
1.843,91.3
1.946,91.3
2.045,91.8
2.146,91.8
2.253,91.8
2.359,92.3
2.459,92.3
2.561,92.3
2.663,92.3
2.767,92.3
2.871,92.3
2.97,92.3
3.077,92.3
3.175,92.3
3.28,92.3
3.383,92.3
3.487,92.3
3.589,92.3
3.717,92.3
3.809,92.8
3.898,92.3
4,92.3
4.103,92.3
4.209,92.3
4.309,92.8
4.411,92.8
4.516,92.8
4.616,92.8
4.719,92.8
4.82,92.8
4.925,92.8
5.029,92.8
5.137,92.8
5.233,92.8
5.338,92.8
5.441,92.8
5.544,92.8
5.648,92.8
5.75,92.8
5.855,92.8
5.958,92.8
6.06,92.8
6.167,93.3
6.263,92.8
6.368,93.3
6.476,92.8
6.571,103.6
6.677,106.2
6.779,106.2
6.883,106.2
6.987,105.6
7.087,105.6
7.192,105.6
7.293,105.1
7.396,105.1
7.501,104.6
7.603,104.6
7.705,104.1
7.807,104.1
7.91,103.6
8.013,103.6
8.115,103.6
8.219,103.6
8.321,103.1
8.428,103.1
8.531,103.1
8.633,103.1
8.735,103.1
8.837,103.1
8.939,102.6
9.042,102.6
9.143,102.6
9.246,102.6
9.349,102.6
9.452,102.6
9.556,102.0
9.659,102.6
9.762,102.0
9.865,102.6
9.974,102.0
10.069,102.0
10.171,102.0
10.282,102.0
10.379,102.0
10.482,102.0
10.585,102.0
10.689,102.0
10.796,102.0
10.903,102.0
11,102.0
11.1,102.0
11.202,102.0
11.301,102.0
11.407,101.5
11.511,102.0
