Thu Dec 05 2019 19:13:50 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.072,-0.0
0.183,0.0
0.282,0.0
0.383,-0.0
0.493,0.0
0.643,-0.0
0.689,0.3
0.798,7.5
0.898,23.1
1.003,23.1
1.103,23.2
1.208,23.2
1.309,23.3
1.418,23.3
1.517,23.4
1.618,23.4
1.721,23.5
1.823,23.5
1.927,23.6
2.031,23.6
2.133,23.7
2.235,23.7
2.339,23.7
2.442,23.8
2.542,23.8
2.654,23.8
2.754,23.8
2.851,23.9
2.953,23.9
3.057,23.9
3.163,23.9
3.265,24.0
3.366,24.0
3.469,24.0
3.573,24.0
3.681,24.0
3.778,24.1
3.881,24.1
4.004,24.1
4.088,24.1
4.19,24.1
4.292,24.1
4.396,24.1
4.512,24.1
4.638,24.2
4.701,24.1
4.812,24.2
4.919,24.2
5.025,24.2
5.118,24.2
5.227,24.2
5.33,24.2
5.433,24.2
5.532,24.2
5.63,24.2
5.739,24.2
5.842,24.3
5.944,24.2
6.041,24.3
6.147,24.3
6.253,24.3
6.354,24.3
6.454,24.3
6.559,24.3
6.66,24.3
6.774,21.3
6.865,7.2
6.973,0.4
7.071,0.4
7.192,0.4
7.279,0.4
7.377,0.3
7.483,0.3
7.586,0.3
7.686,0.3
7.789,0.3
7.896,0.3
8.024,0.3
8.094,0.3
8.282,0.2
8.353,0.2
8.86,0.2
8.864,0.2
8.871,0.2
8.873,0.2
8.875,0.2
8.986,0.2
9.026,0.2
9.72,0.2
9.724,0.1
9.729,0.1
9.741,0.1
9.744,0.1
9.746,0.1
9.767,0.1
10.34,0.1
10.342,0.1
10.345,0.1
10.349,0.1
10.352,0.1
10.355,0.1
10.449,0.1
10.853,0.1
10.856,0.1
10.858,0.1
10.872,0.1
10.964,0.1
11.071,0.1
11.175,0.1
11.279,0.1
11.377,0.1
11.48,0.1
