Thu Dec 19 2019 20:57:47 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.023,94.4
0.049,94.4
0.217,94.4
0.252,94.9
0.41,94.4
0.45,94.4
0.611,94.9
0.64,94.4
0.802,94.4
0.835,94.4
1,94.4
1.028,94.4
1.199,94.4
1.227,94.4
1.391,93.8
1.42,93.8
1.587,93.8
1.618,94.4
1.786,94.4
1.809,94.4
1.974,94.4
2.01,93.8
2.169,94.4
2.204,93.3
2.364,93.3
2.403,93.8
2.562,94.4
2.592,94.4
2.771,94.4
2.789,93.8
2.952,94.4
2.987,93.8
3.149,93.8
3.182,94.4
3.347,94.4
3.392,94.4
3.542,94.4
3.574,94.4
3.734,93.8
3.768,94.4
3.941,94.4
3.976,94.4
4.122,94.4
4.169,94.4
4.317,94.4
4.349,93.8
4.514,93.8
4.545,94.4
4.711,94.4
4.739,94.4
4.909,94.4
4.939,94.4
5.102,94.4
5.137,93.8
5.299,93.8
5.33,94.4
5.495,94.4
5.526,94.9
5.688,94.4
5.728,94.4
5.885,94.4
5.917,94.4
6.094,94.4
6.112,94.4
6.273,94.9
6.306,94.9
6.47,94.4
6.504,94.4
6.668,94.4
6.71,94.4
6.864,94.4
6.893,94.9
7.064,94.9
7.099,94.4
7.253,94.4
7.285,94.4
7.449,94.4
7.48,94.4
7.647,94.4
7.68,94.9
7.878,94.9
7.889,96.9
8.035,94.4
8.068,94.4
8.286,94.4
8.288,94.9
8.428,94.4
8.455,94.4
8.623,94.4
8.649,94.4
8.833,93.8
8.858,93.8
9.009,93.8
9.04,93.8
9.205,93.8
9.239,93.8
9.418,93.8
9.466,93.8
9.612,93.3
9.627,93.3
9.795,93.3
9.827,93.3
9.991,93.3
10.023,93.3
10.185,93.3
10.218,92.8
10.387,92.8
10.412,93.3
10.575,92.8
10.617,93.3
10.861,92.8
10.864,92.8
10.972,92.8
11.003,92.3
11.181,91.8
11.233,92.3
11.359,92.3
11.388,92.3
11.556,91.8
11.592,91.8
11.75,91.8
11.782,91.8
11.948,91.8
11.979,91.8
12.142,91.8
12.168,91.8
12.337,91.3
12.368,91.3
12.538,91.3
12.563,91.3
12.727,91.3
12.766,91.3
12.923,91.3
12.953,91.3
13.12,90.8
13.153,90.8
13.315,90.8
13.352,90.8
13.51,90.8
13.543,91.3
13.723,90.8
13.742,90.8
13.964,90.8
13.967,92.8
14.102,90.3
14.156,90.8
14.302,90.3
14.321,90.3
14.49,90.3
14.524,90.3
14.692,89.7
14.716,90.3
14.877,90.3
14.91,90.3
15.081,90.3
15.103,89.7
15.271,89.7
15.308,89.2
15.467,89.2
15.554,89.7
