Mon Dec 23 2019 18:16:23 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.516,-0.0
0.521,-0.1
0.53,-0.1
0.535,-0.2
0.542,-0.0
0.553,-0.1
0.563,-0.2
0.571,-0.1
0.648,0.0
0.796,0.1
0.799,-0.0
0.911,-0.1
0.952,-0.2
1.069,-0.6
1.198,-0.6
1.281,-0.4
1.358,-0.1
1.438,-0.1
1.862,-0.2
1.865,-0.2
1.869,-0.0
1.871,-0.3
1.934,-0.2
2.027,-0.1
2.125,-0.1
2.226,-0.1
2.319,-0.1
2.419,-0.1
2.517,-0.1
2.616,-0.1
2.71,-0.1
2.808,-0.2
2.909,-0.3
3.008,-0.3
3.104,0.1
3.204,-0.1
3.299,-0.3
3.4,-0.2
3.495,-0.1
3.597,-0.0
3.708,0.1
3.798,0.1
3.887,-0.1
3.994,0.0
4.084,-0.1
4.183,-0.3
4.279,-0.1
4.379,-0.0
4.473,-0.3
4.571,-0.2
4.685,0.0
4.77,-0.1
4.865,-0.2
4.965,-0.3
5.073,-0.1
5.163,-0.1
5.26,-0.1
5.357,-0.2
5.452,-0.2
5.553,-0.1
5.647,-0.2
5.749,-0.2
5.847,-0.3
5.946,-0.1
6.039,-0.2
6.139,-0.3
6.235,-0.1
6.334,-0.2
6.431,-0.2
6.531,-0.2
6.628,-0.2
6.728,-0.2
6.823,-0.1
