Mon Dec 23 2019 18:17:05 GMT-0800 (Pacific Standard Time)
Time (s),Float Pressure (psig)
0.14,0.0
0.165,0.0
0.335,0.0
0.367,0.5
0.532,0.5
0.559,0.0
0.726,0.0
0.752,-0.5
0.927,0.0
0.947,0.0
1.136,0.0
1.172,0.5
1.315,0.5
1.351,0.0
1.51,0.0
1.547,-0.5
1.707,0.0
1.735,0.0
1.919,0.5
1.929,0.0
2.101,0.0
2.122,0.0
2.292,0.0
2.324,0.0
2.486,-0.5
2.526,0.0
2.685,0.5
2.712,0.5
2.883,0.0
2.948,0.0
3.081,0.0
3.099,-0.5
3.274,0.0
3.31,0.5
3.467,0.5
3.491,0.0
3.663,0.0
3.687,0.0
3.862,0.0
3.885,0.0
4.051,0.0
4.079,0.5
4.248,0.5
4.272,0.0
4.444,0.0
4.516,0.5
4.642,-0.5
4.663,0.0
4.837,0.5
4.866,0.5
5.031,0.0
5.056,0.0
5.233,0.0
5.25,0.0
