Mon Dec 23 2019 18:37:15 GMT-0800 (Pacific Standard Time)
Time (s),Prop Pressure (psig)
0.024,98.5
0.21,98.5
0.211,100.5
0.491,98.5
0.492,100.5
0.565,98.0
0.61,97.4
0.891,82.0
0.893,79.5
0.957,67.2
0.996,65.6
1.149,54.9
1.182,53.3
1.346,45.1
1.378,45.6
1.549,36.9
1.832,35.9
1.856,29.7
1.858,31.3
1.938,24.6
1.965,23.6
2.132,19.5
2.156,19.0
2.324,15.4
2.368,15.4
2.519,12.8
2.566,11.8
2.716,9.2
2.748,11.3
3.071,6.7
3.073,6.7
3.136,5.1
3.147,5.1
3.302,4.1
3.339,3.6
3.501,2.6
3.536,1.5
3.754,1.0
3.756,-0.5
3.895,1.0
3.952,1.0
4.353,1.0
4.357,0.0
4.361,0.5
4.362,2.6
4.478,0.0
4.514,0.5
4.708,0.5
4.716,0.5
4.888,0.5
4.916,0.0
5.062,0.0
5.116,0.0
5.256,0.0
5.591,0.5
5.595,0.5
5.609,0.0
5.675,0.5
5.681,-0.5
5.849,0.0
5.881,0.5
6.042,0.5
6.08,3.1
6.241,1.0
6.274,0.5
6.432,1.0
6.468,0.5
6.635,0.5
6.823,1.0
6.882,1.0
6.885,3.6
7.028,1.5
7.058,1.0
7.223,1.0
7.302,1.0
7.456,1.0
7.458,1.5
7.604,2.0
7.64,1.5
7.798,1.5
7.852,1.5
7.997,1.5
8.09,2.0
8.288,2.0
8.314,2.0
8.39,2.6
8.417,4.6
8.583,2.6
8.612,1.5
8.776,2.0
8.903,2.6
9.051,2.6
9.053,4.6
9.192,1.0
9.208,2.6
9.56,2.6
9.563,2.6
9.601,2.6
9.638,3.1
9.759,3.1
9.796,5.1
9.949,3.1
9.982,3.1
10.146,3.1
10.177,3.1
10.34,3.1
10.373,3.6
10.542,3.6
